,cell_number,concave_regularity,brittleness,sample
AL189T_202,3.58351893845611,0.328787709299724,0.557611211557926,AL189T
AL189T_203,3.58351893845611,0.133451068953495,0.613679715713925,AL189T
AL189T_204,3.87120101090789,0.276502999936853,0.835414134049659,AL189T
AL189T_205,3.73766961828337,0.462708672787997,0.960805060014929,AL189T
AL189T_206,3.78418963391826,0.152987109081454,0.825953253473915,AL189T
AL189T_207,4.00733318523247,0.483523743347423,0.91667162399879,AL189T
AL189T_208,3.85014760171006,0.413662835587463,0.893711855400127,AL189T
AL189T_209,3.66356164612965,0.258083762943418,0.802536657324985,AL189T
AL189T_210,3.58351893845611,0.191129586357403,0.760887914408281,AL189T
AL189T_211,3.8286413964891,0.422983519274628,0.825369271562899,AL189T
AL189T_212,3.71357206670431,0.231170609696069,0.876619735461039,AL189T
AL189T_213,3.80666248977032,0.0821573700097488,0.743667109030147,AL189T
AL189T_214,3.61091791264422,0.0994330188274599,0.834787974522719,AL189T
AL189T_215,3.80666248977032,0.386986360683531,0.824390669671423,AL189T
AL189T_216,3.76120011569356,0.275385640429682,0.882010427926058,AL189T
AL189T_217,3.52636052461616,0.308860937465113,0.81415141964149,AL189T
AL189T_218,3.76120011569356,0.505456550582501,0.974722157997992,AL189T
AL189T_219,3.43398720448515,0.0928724753718477,0.859940766201638,AL189T
AL189T_220,3.63758615972639,0.109874589483259,0.575665369455938,AL189T
AL189T_221,3.49650756146648,0.19304705471107,0.869032844591699,AL189T
AL189T_222,4.15888308335967,0.0715178364085847,0.72218483246821,AL189T
AL189T_223,3.55534806148941,0.401022850551143,0.923834003298038,AL189T
AL189T_224,3.66356164612965,0.259376028128255,0.833851734371472,AL189T
AL189T_225,3.58351893845611,0.202939596520491,0.858919177168387,AL189T
AL189T_226,3.49650756146648,0.617351205303562,0.96746163046321,AL189T
AL189T_227,4.0943445622221,0.277841062567429,0.803539064301411,AL189T
AL189T_228,3.61091791264422,0.32665360313088,0.889834702252991,AL189T
AL189T_229,3.68887945411394,0.562581520745648,0.9334876335546,AL189T
AL189T_230,3.91202300542815,0.306981491023677,0.84506005721759,AL189T
AL189T_231,3.49650756146648,0.274286346171712,0.933214978110769,AL189T
AL189T_232,3.63758615972639,0.362259130371634,0.931920213579539,AL189T
AL189T_233,3.52636052461616,0.447416440707131,0.933125912526205,AL189T
AL189T_234,3.58351893845611,0.186905322492239,0.73424483282286,AL189T
AL189T_235,3.71357206670431,0.254389973001184,0.753427887352634,AL189T
AL189T_236,3.52636052461616,0.576850614825933,0.941171001040057,AL189T
AL189T_237,3.52636052461616,0.296329851545166,0.868859958394534,AL189T
AL189T_238,3.58351893845611,0.246405302832258,0.738705544934507,AL189T
AL189T_239,3.43398720448515,0.208981276253208,0.830990733964349,AL189T
AL189T_240,3.78418963391826,0.0514539384800677,0.532954941134325,AL189T
AL189T_241,3.49650756146648,0.509132367373021,0.909698954262577,AL189T
AL189T_242,3.61091791264422,0.135843149718048,0.838963922005694,AL189T
AL189T_243,3.49650756146648,0.197108472260796,0.682901917553095,AL189T
AL189T_244,3.49650756146648,0.1660534607447,0.697892015050409,AL189T
AL189T_245,3.46573590279973,0.322372853293448,0.858480871351704,AL189T
AL189T_246,3.43398720448515,0.46023465364649,0.958706606033979,AL189T
AM010_1,7.14755927118945,0.249116164639163,0.721727453614726,AM010
AM010_2,7.08757370555797,0.0907981225970963,0.641285381189699,AM010
AM010_3,6.65286302935335,0.248464369515181,0.704712236070549,AM010
AM010_4,6.61069604471776,0.133939583664627,0.755634382204063,AM010
AM010_5,6.64509096950564,0.160088217171709,0.740672541690864,AM010
AM010_6,6.58340922215876,0.206713590395244,0.69404742839966,AM010
AM010_7,6.57088296233958,0.0346189623023839,0.686797354289679,AM010
AM010_8,6.67708346124714,0.303509409684098,0.771850355077673,AM010
AM010_9,6.30809844150953,0.233892368522707,0.726840187580761,AM010
AM010_10,6.52795791762255,0.170066652669244,0.753407763047367,AM010
AM010_11,6.4118182677099,0.136508231177956,0.66143969983618,AM010
AM010_12,6.59441345974978,0.434462072180141,0.744693979751539,AM010
AM010_13,6.41345895716736,0.0338783787527301,0.591463962108062,AM010
AM010_14,6.41345895716736,0.0630347151621702,0.640353230919968,AM010
AM010_15,6.07764224334903,0.204806538206566,0.613111179156784,AM010
AM010_16,6.48768401848461,0.0453229197126362,0.681349751968491,AM010
AM010_17,6.39359075395063,0.0394521596704945,0.728517208129668,AM010
AM010_18,6.36818718635049,0.119035412368174,0.774221085883982,AM010
AM010_19,6.23832462503951,0.460896087891904,0.749088763350664,AM010
