,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,color
ATF3,ATF3,798.114433247554,-0.266543262729311,0.187015680098993,-1.42524553335967,0.154086238430001,0.999982363306687,Not Significant,grey
ATF4,ATF4,9864.00043812107,-0.0219997649623629,0.0830619435061933,-0.264859742424911,0.791117511944507,0.999982363306687,Not Significant,grey
ATF5,ATF5,948.482736208724,-0.185459111714957,0.166554178383015,-1.11350620870325,0.265491083293323,0.999982363306687,Not Significant,grey
ATF6,ATF6,3623.30538600239,-0.0291243240036869,0.106509897227426,-0.2734424195481,0.784513148674665,0.999982363306687,Not Significant,grey
ATF6B,ATF6B,2268.08639551337,0.0358793897739828,0.118293574652419,0.30330801887936,0.761655135675602,0.999982363306687,Not Significant,grey
ATF7,ATF7,946.33557592775,0.0239659793172712,0.163880599906063,0.14624049052181,0.883731542324102,0.999982363306687,Not Significant,grey
ATF7IP,ATF7IP,2572.01544546545,0.0638017206023112,0.113417846664567,0.562536871212208,0.573750289613087,0.999982363306687,Not Significant,grey
ATF7IP2,ATF7IP2,152.324699848693,0.319813138174179,0.380651862227712,0.840172267390251,0.400811805316085,0.999982363306687,Not Significant,grey
ATG10,ATG10,370.695391911065,-0.124395863445881,0.25316611083966,-0.491360644729679,0.623171394151644,0.999982363306687,Not Significant,grey
ATG101,ATG101,1311.27094814699,-0.096137028695451,0.144240594561922,-0.66650466179394,0.505088584949948,0.999982363306687,Not Significant,grey
ATG12,ATG12,1638.36987044199,0.0952698763503634,0.134847550623717,0.706500606868325,0.479876875453307,0.999982363306687,Not Significant,grey
ATG13,ATG13,3285.44864882203,0.00487677512745698,0.106141039087683,0.0459461784939592,0.963353147902759,0.999982363306687,Not Significant,grey
ATG14,ATG14,1193.1766343742,-0.0993334324744584,0.151126464790443,-0.657286813479012,0.510996513749977,0.999982363306687,Not Significant,grey
ATG16L1,ATG16L1,1153.56776151961,-0.0700254312105663,0.151651585737426,-0.461752054026065,0.644259137423188,0.999982363306687,Not Significant,grey
ATG16L2,ATG16L2,758.498990595686,0.142527643187844,0.181767605312959,0.784120156847787,0.432969608982302,0.999982363306687,Not Significant,grey
ATG2A,ATG2A,2101.4621074471,0.0231996501604697,0.121188379185132,0.191434610450802,0.848185106232082,0.999982363306687,Not Significant,grey
ATG2B,ATG2B,2902.23498962996,0.106679008392888,0.109834221104204,0.971272954097591,0.331412373150122,0.999982363306687,Not Significant,grey
ATG3,ATG3,1177.40625013229,-0.124085373008008,0.149969962070004,-0.827401509577536,0.408009525248815,0.999982363306687,Not Significant,grey
ATG4A,ATG4A,679.379062277798,-0.0478611374152094,0.205446454171672,-0.23296161332245,0.815791213835804,0.999982363306687,Not Significant,grey
ATG4B,ATG4B,1893.9050324264,0.0866014444611231,0.125594591672423,0.68953163753259,0.49048877090902,0.999982363306687,Not Significant,grey
ATG4C,ATG4C,369.408479224202,-0.0921234816976621,0.247979202183023,-0.371496806533274,0.710267534068747,0.999982363306687,Not Significant,grey
ATG4D,ATG4D,699.792405608514,-0.0312923595990202,0.186902568998577,-0.167426053941819,0.867034826420212,0.999982363306687,Not Significant,grey
ATG5,ATG5,1119.12231175363,0.0661800648060302,0.155806789072137,0.424757259938072,0.671013637424614,0.999982363306687,Not Significant,grey
ATG7,ATG7,1073.04672856488,0.0251545918086739,0.161302026779446,0.155947152747613,0.876074677432701,0.999982363306687,Not Significant,grey
ATG9A,ATG9A,2599.1883679044,0.00658150062388074,0.11401061463759,0.0577270865945388,0.953966017685444,0.999982363306687,Not Significant,grey
ATG9B,ATG9B,56.8009397083216,-0.05042875049097,0.610346746239123,-0.0826231167802653,0.93415121958614,0.999982363306687,Not Significant,grey
ATIC,ATIC,1421.96007961688,0.0174679957306282,0.140458088187222,0.124364470256383,0.901026703538587,0.999982363306687,Not Significant,grey
ATL1,ATL1,914.362661735294,-0.0231987377338419,0.16752234792454,-0.138481450512452,0.889859928711317,0.999982363306687,Not Significant,grey
ATL2,ATL2,1550.25392625155,0.0297801821803036,0.138529826078932,0.214973071310545,0.829788313705917,0.999982363306687,Not Significant,grey
ATL3,ATL3,4270.89597342415,-0.0177139997516324,0.0992338787188043,-0.178507582091274,0.858324367179724,0.999982363306687,Not Significant,grey
ATM,ATM,4213.09901606048,0.0776782927449055,0.101684143924608,0.763917457991273,0.44491643305082,0.999982363306687,Not Significant,grey
ATMIN,ATMIN,2775.03963168343,0.0199322214477002,0.110779757927513,0.179926566194003,0.857210218740719,0.999982363306687,Not Significant,grey
ATN1,ATN1,5909.7013071315,0.0391666726793841,0.0928006586228023,0.422051667096255,0.672987305503928,0.999982363306687,Not Significant,grey
ATOH8,ATOH8,171.699852347109,0.520820701825938,0.393643602277085,1.3230767598233,0.185809852413292,0.999982363306687,Not Significant,grey
ATOX1,ATOX1,533.244696050616,-0.035998127014319,0.217143464555756,-0.165780384355412,0.868329783518847,0.999982363306687,Not Significant,grey
ATP10A,ATP10A,215.222047312905,0.0410532639543792,0.325353011515312,0.126180679143482,0.899588904926041,0.999982363306687,Not Significant,grey
ATP10B,ATP10B,905.319302582892,-0.145737062524512,0.171421804345497,-0.850166424749459,0.39523256565994,0.999982363306687,Not Significant,grey
ATP10D,ATP10D,1675.5068865209,0.0701462399248338,0.13452127967461,0.521450881931161,0.602052713843273,0.999982363306687,Not Significant,grey
ATP11A,ATP11A,2909.41696172433,0.00698274267766262,0.109195011222254,0.0639474514403412,0.949012068784146,0.999982363306687,Not Significant,grey
ATP11B,ATP11B,2970.57331332972,-0.029521077775717,0.110755825549534,-0.26654198665617,0.789821827846143,0.999982363306687,Not Significant,grey
ATP11C,ATP11C,452.481088914616,-0.0491668048022839,0.22824498859007,-0.215412417621961,0.829445789391079,0.999982363306687,Not Significant,grey
ATP13A1,ATP13A1,2963.42551862335,0.0360719836615657,0.109358370493201,0.329851144442649,0.741512440341396,0.999982363306687,Not Significant,grey
